PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40454639","Adjuvant Cemiplimab or Placebo in High-Risk Cutaneous Squamous-Cell Carcinoma","Rischin D, Porceddu S, Day F, Brungs DP, Christie H, Jackson JE, Stein BN, Su YB, Ladwa R, Adams G, Bowyer SE, Otty Z, Yamazaki N, Bossi P, Challapalli A, Hauschild A, Lim AM, Patel VA, Walker JL, De Liz Vassen Schurmann M, Queirolo P, Cañueto J, Ferreira da Silva FA, Stratigos A, Guminski A, Lin C, Damian F, Flatz L, Taylor AE, Carr DR, Harris S, Kirtbaya D, Quereux G, Rutkowski P, Basset-Seguin N, Khushalani NI, Robert C, Ju H, Joseph C, Bansal S, Chen CI, Seebach F, Yoo SY, Lowy I, Goncalves P, Fury MG; C-POST Trial Investigators.","N Engl J Med. 2025 Aug 21;393(8):774-785. doi: 10.1056/NEJMoa2502449. Epub 2025 May 31.","Rischin D","N Engl J Med","2025","2025/06/02","","","10.1056/NEJMoa2502449"
"40775245","Pleural mesothelioma","Fennell DA, Sekido Y, Baas P, Husain AN, Curioni-Fontecedro A, Lim E, Opitz I, Simone CB 2nd, Brims F, Wong MC.","Nat Rev Dis Primers. 2025 Aug 7;11(1):56. doi: 10.1038/s41572-025-00640-3.","Fennell DA","Nat Rev Dis Primers","2025","2025/08/07","","","10.1038/s41572-025-00640-3"
"40105813","Neoadjuvant Chemoradiotherapy vs Chemoimmunotherapy for Esophageal Squamous Cell Carcinoma","Guo X, Chen C, Zhao J, Wang C, Mei X, Shen J, Lv H, Han Y, Wang Q, Lv J, Chen H, Yan X, Liu Z, Zhang Z, Zhong Q, Jiang Y, Xu L, Li X, Qian D, Ma D, Ye M, Wang C, Wang Z, Lin J, Tian Z, Leng X, Li Z.","JAMA Surg. 2025 May 1;160(5):565-574. doi: 10.1001/jamasurg.2025.0220.","Guo X","JAMA Surg","2025","2025/03/19","PMC11923775","","10.1001/jamasurg.2025.0220"
"40079940","Adjuvant PD-1 Blockade With Camrelizumab for Nasopharyngeal Carcinoma: The DIPPER Randomized Clinical Trial","Liang YL, Liu X, Shen LF, Hu GY, Zou GR, Zhang N, Chen CB, Chen XZ, Zhu XD, Yuan YW, Yang KY, Jin F, Hu WH, Xie FY, Huang Y, Han F, Tang LL, Mao YP, Lu LX, Sun R, He YX, Zhou YY, Long GX, Tang J, Chen LS, Zong JF, Jin T, Li L, Lin J, Huang J, Gong XY, Zhou GQ, Chen L, Li WF, Chen YP, Xu C, Lin L, Huang SH, Huang SW, Wang YQ, Huang CL, Feng HX, Hou M, Chen CH, Zheng SF, Li YQ, Hong SB, Jie YS, Li H, Yun JP, Zang SB, Liu SR, Lin QG, Li HJ, Tian L, Liu LZ, Zhao HY, Li JB, Lin AH, Liu N, Zhang Y, Guo R, Ma J, Sun Y.","JAMA. 2025 May 13;333(18):1589-1598. doi: 10.1001/jama.2025.1132.","Liang YL","JAMA","2025","2025/03/13","PMC11907361","","10.1001/jama.2025.1132"
"40079944","Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial","Haddad R, Fayette J, Teixeira M, Prabhash K, Mesia R, Kawecki A, Dechaphunkul A, Dinis J, Guo Y, Masuda M, Hsieh CY, Ghi MG, Vaz de Melo Sette C, Harrington K, Tahara M, Saba NF, Lau A, Jiang T, Yan Y, Ballinger M, Kaul M, Matheny C, Cuchelkar V, Wong DJ.","JAMA. 2025 May 13;333(18):1599-1607. doi: 10.1001/jama.2025.1483.","Haddad R","JAMA","2025","2025/03/13","PMC11907359","","10.1001/jama.2025.1483"
"40839372","Toripalimab Combination Therapy Without Concurrent Cisplatin for Nasopharyngeal Carcinoma: The DIAMOND Randomized Clinical Trial","DIAMOND Study Group; Xu C, Liang XY, Huang XQ, Jin F, Yang KY, Hu GY, Zhu XD, Wang Y, Huang Y, Zhang N, Hu DS, Guo L, Zou GR, Chen XZ, Xiao SW, Li JG, Shen LF, Li YY, Huang J, Long GX, Li L, Huang L, She LJ, Wu Y, Zeng WH, Qiang MY, Liu WX, Su Y, Tang LL, Xie FY, Han F, Lu LX, Xiang YQ, Mao YP, Li WF, Liu X, Yang Q, Zhou GQ, Guo R, Ouyang PY, Wang XH, Chen L, Liu LT, Lin L, Li JB, Lin AH, Zhao HY, Hong SB, Jie YS, Huang HL, Tang XH, Zeng YC, Yun JP, Zang SB, Du ZM, Ye ZL, Liu LZ, Tian L, Li HJ, Peng YL, Liu N, Li YQ, Liang YL, Wei HM, Chen YP, Zhang Y, Du XJ, Lv JW, Sun Y, Ma J.","JAMA. 2025 Sep 16;334(11):973-983. doi: 10.1001/jama.2025.13205.","DIAMOND Study Group","JAMA","2025","2025/08/21","PMC12371549","","10.1001/jama.2025.13205"
"40392748","Advances in the treatment of hepatocellular carcinoma: An overview of the current and evolving therapeutic landscape for clinicians","Moris D, Martinino A, Schiltz S, Allen PJ, Barbas A, Sudan D, King L, Berg C, Kim C, Bashir M, Palta M, Morse MA, Lidsky ME.","CA Cancer J Clin. 2025 Nov-Dec;75(6):498-527. doi: 10.3322/caac.70018. Epub 2025 May 20.","Moris D","CA Cancer J Clin","2025","2025/05/20","PMC12593328","","10.3322/caac.70018"
"40638104","Adjuvant Chemoradiation and Immunotherapy for Extrahepatic Cholangiocarcinoma and Gallbladder Cancer: A Randomized Clinical Trial","Xiao H, Ji J, Li S, Lai J, Wei G, Wu J, Chen W, Xie W, Wang S, Qiao L, Tu J, Shen S, Peng Z.","JAMA Oncol. 2025 Sep 1;11(9):1021-1029. doi: 10.1001/jamaoncol.2025.1926.","Xiao H","JAMA Oncol","2025","2025/07/10","PMC12246952","","10.1001/jamaoncol.2025.1926"
"40424564","Randomized Phase II Study of Concurrent Versus Sequential Pembrolizumab in Combination With Chemoradiation in Locally Advanced Head and Neck Cancer","Zandberg DP, Vujanovic L, Clump DA, Isett BP, Wang H, Sica G, Bao R, Li H, Ohr J, Skinner HD, Seethala RR, Chiosea SI, Ferris RL, Bauman JE.","J Clin Oncol. 2025 Aug 10;43(23):2572-2582. doi: 10.1200/JCO-24-01580. Epub 2025 May 27.","Zandberg DP","J Clin Oncol","2025","2025/05/27","PMC12316147","","10.1200/JCO-24-01580"
"40907366","Comparative review of KEYNOTE-689 and NIVOPOSTOP trials and their impact on perioperative immunotherapy in locally advanced head and neck cancer","Imamura Y, Kanno M, Fujieda S.","Cancer Treat Rev. 2025 Nov;140:103018. doi: 10.1016/j.ctrv.2025.103018. Epub 2025 Aug 27.","Imamura Y","Cancer Treat Rev","2025","2025/09/04","","","10.1016/j.ctrv.2025.103018"
"41069194","Emerging targeted therapies in meningiomas","Yamazawa E, Sullivan E, Wakimoto H, Brastianos PK.","Curr Opin Neurol. 2025 Dec 1;38(6):711-718. doi: 10.1097/WCO.0000000000001430. Epub 2025 Oct 8.","Yamazawa E","Curr Opin Neurol","2025","2025/10/10","","","10.1097/WCO.0000000000001430"
"40338473","Immunotherapy-Boosted Stereotactic Ablative Radiotherapy in Inoperable Early-Stage Non-Small Cell Lung Cancer","Lian J, Sun L, Zhang S, Huang L, Ma J, Han C.","Curr Treat Options Oncol. 2025 Jun;26(6):500-515. doi: 10.1007/s11864-025-01324-6. Epub 2025 May 8.","Lian J","Curr Treat Options Oncol","2025","2025/05/08","","","10.1007/s11864-025-01324-6"
"40155587","Nutritional management during chemotherapy and chemoradiotherapy for advanced esophageal cancer","Kimura Y, Gakuhara A, Fukuda S, Fukuda Y, Yoshihara T, Koga C, Haraguchi N, Hida JI.","Esophagus. 2025 Jul;22(3):279-288. doi: 10.1007/s10388-025-01117-8. Epub 2025 Mar 29.","Kimura Y","Esophagus","2025","2025/03/29","PMC12167285","","10.1007/s10388-025-01117-8"
"40329122","Efficacy and safety of cancer vaccine therapy in malignant melanoma: a systematic review","Seta T, Nakamura S, Oura M, Yokoyama K, Nishikawa Y, Hoshino N, Ninomiya K, Shimoi T, Hotta K, Nakayama T.","Int J Clin Oncol. 2025 Jun;30(6):1080-1097. doi: 10.1007/s10147-025-02753-x. Epub 2025 May 6.","Seta T","Int J Clin Oncol","2025","2025/05/06","","","10.1007/s10147-025-02753-x"
"40221282","Stereotactic Body Radiation Therapy Alone or in Combination with Immunotherapy in Kidney Cancer: A Systematic Review","Sundahl N, Albiges L, Choueiri TK, De Bleser E, De Meerleer G, Hannan R, McKay R, Tang C, Siva S.","Eur Urol. 2025 Aug;88(2):142-154. doi: 10.1016/j.eururo.2025.03.016. Epub 2025 Apr 11.","Sundahl N","Eur Urol","2025","2025/04/12","","","10.1016/j.eururo.2025.03.016"
"40597782","Neoadjuvant chemoradiotherapy with or without PD-1/PD-L1 inhibitors in locally advanced rectal cancer: a systematic review and meta-analysis","Ansab M, Razi S, Nisa F, Araib E, Rath S, Khan I, Ramzan NUH, Dilawar E, Saeed A.","BMC Cancer. 2025 Jul 1;25(1):1084. doi: 10.1186/s12885-025-14482-5.","Ansab M","BMC Cancer","2025","2025/07/02","PMC12211167","","10.1186/s12885-025-14482-5"
"41016964","Predictive biomarkers for immunotherapy in nasopharyngeal carcinoma: from tumor microenvironment to macroenvironment","Huang S, Liang Y, Liu N, Ma J.","Front Med. 2025 Oct;19(5):721-742. doi: 10.1007/s11684-025-1151-5. Epub 2025 Sep 29.","Huang S","Front Med","2025","2025/09/28","","","10.1007/s11684-025-1151-5"
"40816191","Hypofractionated radiotherapy in the management of rectal tumours","Ossedat MA, Durand-Labrunie J.","Cancer Radiother. 2025 Sep-Oct;29(5-6):104706. doi: 10.1016/j.canrad.2025.104706. Epub 2025 Aug 14.","Ossedat MA","Cancer Radiother","2025","2025/08/15","","","10.1016/j.canrad.2025.104706"
"39880326","Thyroxine alleviates interstitial lung disease induced by combined radiotherapy and immunotherapy","Mo Y, Qin Y, Li P, Wu M, Yu J, Chen D.","Cancer Lett. 2025 Apr 10;615:217504. doi: 10.1016/j.canlet.2025.217504. Epub 2025 Jan 27.","Mo Y","Cancer Lett","2025","2025/01/29","","","10.1016/j.canlet.2025.217504"
"40494752","Chemotherapy Plus Anti-PD-1 or Anti-PD-L1 in Advanced PD-L1-Negative Squamous Cell Lung Carcinoma: A Systematic Review and Meta-Analysis","Peruzzo N, Lenz G, Akhiwu T, Bilalaga M, Gaddipati GN, Müller NLF, Zarpellon L, Venero F, Corassa M, Cardona AF, Reuss JE, Pellini B.","Clin Lung Cancer. 2025 Sep;26(6):e361-e373. doi: 10.1016/j.cllc.2025.04.006. Epub 2025 May 22.","Peruzzo N","Clin Lung Cancer","2025","2025/06/10","","","10.1016/j.cllc.2025.04.006"
"39966261","Investigating the synergistic effects of immunochemotherapy in esophageal squamous cell carcinoma","Okui J, Nagashima K, Matsuda S, Sato Y, Kawakubo H, Takeuchi M, Hirata K, Yamamoto S, Nomura M, Tsushima T, Takeuchi H, Kato K, Kitagawa Y.","Esophagus. 2025 Apr;22(2):188-197. doi: 10.1007/s10388-025-01113-y. Epub 2025 Feb 18.","Okui J","Esophagus","2025","2025/02/18","","","10.1007/s10388-025-01113-y"
"41192027","Effectiveness of immune checkpoint inhibitor therapy in thyroid cancer: A systematic review","Tasong J, Sheldon R, Clements A, Abid MT, Gan A.","Cancer Treat Rev. 2025 Dec;141:103042. doi: 10.1016/j.ctrv.2025.103042. Epub 2025 Oct 27.","Tasong J","Cancer Treat Rev","2025","2025/11/05","","","10.1016/j.ctrv.2025.103042"
"40434735","Comparative effectiveness for early-stage NSCLC without lymph node involvement based on prospective studies","Yang X, Xing Z, Long S, Yu X, Yin N, Deng K, Kang D, Spring FM, Lu Y, Luo R, Xue J.","Int J Surg. 2025 Aug 1;111(8):5535-5548. doi: 10.1097/JS9.0000000000002594. Epub 2025 May 28.","Yang X","Int J Surg","2025","2025/05/28","","","10.1097/JS9.0000000000002594"
"40706555","Oligometastatic head and neck cancer: Navigating patient trajectories and broader implications","Thariat J, Lehyanti J, Boisselier P, Modesto A, Thureau S, Pointreau Y, Sun XS.","Cancer Radiother. 2025 Sep-Oct;29(5-6):104675. doi: 10.1016/j.canrad.2025.104675. Epub 2025 Jul 24.","Thariat J","Cancer Radiother","2025","2025/07/24","","","10.1016/j.canrad.2025.104675"
"40552283","Efficacy and safety of first-line treatments for recurrent or metastatic nasopharyngeal carcinoma: a systematic review and network meta-analysis","Cai T, Lin C, Li Q, Mo J, Zheng J, Zhou J.","Front Immunol. 2025 Jun 9;16:1485609. doi: 10.3389/fimmu.2025.1485609. eCollection 2025.","Cai T","Front Immunol","2025","2025/06/24","PMC12183282","","10.3389/fimmu.2025.1485609"
"41062829","Neoadjuvant ipilimumab and nivolumab in resectable cutaneous squamous cell carcinoma: a randomized phase 2 trial","Breukers SE, Traets JJH, van Dijk SW, Ostos MM, Fraterman I, Crommelin RD, van der Hulst H, Qiao X, Boere T, van de Poll-Franse LV, Retèl V, van der Noort V, Vos JL, Toppenberg AGL, van der Heijden M, Missale F, Balm F, van den Brekel M, Dirven R, Karakullukcu MB, Karssemakers L, Klop WMC, Lohuis PJFM, Schreuder WH, Smeele LE, van der Velden LA, Plasmeijer E, Smit LA, de Boer JP, Navran A, Westerink B, de Koekkoek-Doll PK, Castelijns J, Wondergem M, Vogel WV, Kuijpers A, van Houdt WJ, Onderwater S, Maas-Bannink E, Cornelissen S, Broeks A, Tijink BM, Devriese LA, de Bree R, Blank CU, Schumacher TN, Thommen DS, Haanen JBAG, Zuur CL.","Nat Med. 2025 Dec;31(12):4055-4064. doi: 10.1038/s41591-025-03943-w. Epub 2025 Oct 8.","Breukers SE","Nat Med","2025","2025/10/08","PMC12705425","","10.1038/s41591-025-03943-w"
